invoice_date,invoice_number,location_zip,total,completion_date
2021-06-25,26483548,80919.0,0.0,2021-06-25
2021-07-08,26484699,80925.0,634.4,2021-07-08
2021-07-09,26486433,80923.0,347.0,2021-07-09
2021-07-08,26486867,80922.0,167.4,2021-07-08
2021-07-08,26486995,80910.0,84.0,2021-07-08
2021-06-25,26488149,80907.0,0.0,2021-06-25
2021-06-29,26489043,80922.0,569.0,2021-06-29
2021-07-08,26503123,80920.0,353.0,2021-07-08
2021-07-08,26508643,80132.0,595.0,2021-07-08
2021-07-08,26518995,80915.0,345.4,2021-07-08
2021-07-09,26523603,80911.0,618.0,2021-07-09
2021-06-28,26526547,80907.0,98.0,2021-06-28
2021-07-07,26534483,80924.0,74.0,2021-07-07
2021-07-15,26535507,80916.0,49.0,2021-07-15
2021-07-07,26536533,80908.0,183.0,2021-07-07
2021-07-08,26537939,80919.0,209.0,2021-07-08
2021-06-25,26540244,80920.0,87.0,2021-06-25
2021-07-09,26540377,80915.0,1989.95,2021-07-09
2021-06-18,26541139,80923.0,2052.0,2021-06-18
2021-07-09,26541163,80925.0,591.0,2021-07-09
2021-06-18,26541267,80923.0,2055.0,2021-06-18
2021-07-12,26541396,80921.0,0.0,2021-07-12
2021-07-09,26542292,80920.0,853.4,2021-07-09
2021-07-09,26542679,80911.0,84.0,2021-07-09
2021-06-24,26544596,80923.0,515.4,2021-06-24
2021-07-13,26548307,80919.0,723.4,2021-07-13
2021-07-09,26549971,80920.0,1462.95,2021-07-09
2021-07-12,26550486,80907.0,49.0,2021-07-12
2021-06-27,26551508,80923.0,0.0,2021-06-27
2021-06-30,26552531,80920.0,349.0,2021-06-30
2021-06-28,26568275,80918.0,49.0,2021-06-28
2021-07-13,26568534,80918.0,2610.95,2021-07-13
2021-07-12,26572883,80831.0,49.0,2021-07-12
2021-07-15,26572901,80919.0,7008.95,2021-07-24
2021-07-14,26572916,80133.0,4971.4,2021-07-14
2021-07-12,26573788,80132.0,556.4,2021-07-12
2021-06-25,26575574,80923.0,1034.0,2021-06-25
2021-07-16,26577747,81001.0,684.0,2021-07-16
2021-06-25,26579296,80911.0,0.0,2021-06-25
2021-07-12,26579925,80921.0,150.0,2021-07-12
2021-09-14,26579925-1,80921.0,-150.0,2021-07-12
2021-07-13,26582876,80906.0,261.95,2021-07-13
2021-06-29,26582995,80909.0,0.0,2021-06-29
2021-07-15,26583895,80919.0,383.0,2021-07-15
2021-07-12,26585939,80132.0,84.0,2021-07-12
2021-07-07,26586966,80904.0,320.0,2021-07-07
2021-06-28,26588115,80921.0,129.0,2021-06-28
2021-07-12,26589013,80132.0,129.0,2021-07-12
2021-07-12,26589268,80918.0,211.0,2021-07-12
2021-07-12,26589281,80918.0,1693.0,2021-07-12
2021-06-25,26589651,80831.0,577.4,2021-06-25
2021-06-25,26589779,80831.0,193.0,2021-06-25
2021-07-12,26596053,80918.0,49.0,2021-07-12
2021-07-06,26604243,80133.0,398.0,2021-07-06
2021-06-29,26604887,80918.0,0.0,2021-06-29
2021-06-28,26626515,80920.0,2909.95,2021-06-28
2021-06-30,26629095,80919.0,0.0,2021-06-30
2021-07-01,26630120,80907.0,0.0,2021-07-01
2021-07-12,26632531,80907.0,855.95,2021-07-12
2021-07-13,26633589,80921.0,49.0,2021-07-13
2021-07-12,26635219,80919.0,469.0,2021-07-12
2021-07-15,26637651,80916.0,84.0,2021-07-15
2021-07-12,26638419,80920.0,288.0,2021-07-12
